r	hill	L2	QI	QI_ref
183.8383838	-5.75202602	-5.414557615	-5.282083207	-5.544988549
184.8484848	-5.332164366	-5.019111508	-4.888985902	-5.134829549
185.8585859	-4.921380579	-4.632365689	-4.504741773	-4.717999658
186.8686869	-4.519430636	-4.254304379	-4.129325924	-4.313388081
187.8787879	-4.126078346	-3.884406857	-3.761916736	-3.978305857
188.8888889	-3.741095054	-3.522420654	-3.402115851	-3.637625111
189.8989899	-3.364259364	-3.168345769	-3.049923269	-3.291345845
190.9090909	-2.995356873	-2.822182204	-2.70533899	-2.939468059
191.9191919	-2.63417991	-2.483929957	-2.368363013	-2.581991752
192.9292929	-2.280527294	-2.153589029	-2.038995339	-2.218916924
193.9393939	-1.934204102	-1.830634922	-1.71668783	-1.89780021
194.9494949	-1.595021433	-1.512911363	-1.399187028	-1.603474936
195.959596	-1.262796204	-1.200185243	-1.086249318	-1.304408064
196.969697	-0.9373509331	-0.8924565626	-0.7778746981	-1.000599596
197.979798	-0.6185135445	-0.5897253205	-0.4740631696	-0.6920495292
198.989899	-0.306117177	-0.2919915171	-0.1748147321	-0.3787578654
200	-0	0.0007448475433	0.1198706145	-0.06072460412
