r	hill	L2	QI	QI_C0
142.4242424	81.06721932	80.88943939	83.13225962	78.68818363
143.4343434	84.45945958	84.27963719	86.46677496	81.9296784
144.4444444	87.82789446	87.64881711	89.78025157	85.51117541
145.4545455	91.17285573	90.99697914	93.07268944	89.43267466
146.4646465	94.4946683	94.32412329	96.34408859	93.69417615
147.4747475	97.79365036	97.6296222	99.59473135	96.55147509
148.4848485	101.0701136	100.9121819	102.8252001	99.24887079
149.4949495	104.3243633	104.1717633	106.0355125	102.2153195
150.5050505	107.5566988	107.4083662	109.2256685	105.4508213
151.5151515	110.7674131	110.6219908	112.3956682	108.9553762
152.5252525	113.9567936	113.8126369	115.5455115	112.7289841
153.5353535	117.1251219	116.9804147	118.6752711	116.4236276
154.5454545	120.2726742	120.128955	121.7873452	118.9628639
155.5555556	123.3997211	123.2600183	124.8828965	121.7171689
156.5656566	126.5065281	126.3736045	127.961925	124.6865425
157.5757576	129.5933554	129.4697137	131.0244307	127.8709847
158.5858586	132.6604585	132.5483457	134.0704136	131.2704956
159.5959596	135.7080878	135.6095008	137.0998737	134.8850752
160.6060606	138.736489	138.652826	140.1114718	137.8736517
161.6161616	141.7459032	141.676871	143.0997022	140.4833377
162.6262626	144.7365671	144.681479	146.0639699	143.2665364
163.6363636	147.7087128	147.66665	149.0042747	146.2232478
164.6464646	150.6625683	150.632384	151.9206166	149.3534719
165.6565657	153.5983573	153.578681	154.8129957	152.6572088
166.6666667	156.5162994	156.5055411	157.681412	156.1344584
167.6767677	159.4166103	159.4094958	160.5405828	158.5592588
168.6868687	162.2995019	162.2870768	163.4052253	161.1242966
169.6969697	165.165182	165.1382841	166.2753397	163.829572
170.7070707	168.0138551	167.9631178	169.1509258	166.6750848
171.7171717	170.8457217	170.7615778	172.0319836	169.660835
172.7272727	173.6609791	173.5336641	174.9185133	172.7868228
173.7373737	176.4598208	176.2855636	177.8097847	175.7523139
174.7474747	179.2424373	179.074506	180.6990447	178.3864703
175.7575758	182.0090156	181.9144117	183.5846508	181.1316198
176.7676768	184.7597394	184.8052809	186.466603	183.9877623
177.7777778	187.4947896	187.7471135	189.3449013	186.9548978
178.7878788	190.2143436	190.7399096	192.2195455	190.0330265
179.7979798	192.9185761	193.7836691	195.0905359	193.2221482
180.8080808	195.6076587	196.6977298	197.8045522	195.4767347
181.8181818	198.2817604	199.1094758	200.0453715	197.3816617
182.8282828	200.9410469	201.0076157	201.8034115	199.1761703
183.8383838	203.5856817	202.3921495	203.0786721	200.8602603
184.8484848	206.2158253	203.2630773	203.8711532	202.4339318
185.8585859	205.673253	203.6203989	204.180855	203.8971847
186.8686869	204.3998612	203.4704748	204.0142375	204.666934
187.8787879	203.1537071	203.0231929	203.5844822	203.1088659
188.8888889	201.9340663	202.3803173	202.9949501	201.6319486
189.8989899	200.7402373	201.541848	202.2456411	200.236182
190.9090909	199.5715411	200.5077849	201.3365552	198.9215662
191.9191919	198.4273195	199.278128	200.2676924	197.6881012
192.9292929	197.3069354	197.8528774	199.0390528	196.535787
193.9393939	196.2097712	196.3041503	197.6948762	195.4281881
194.9494949	195.1352284	194.9284282	196.4170378	194.355976
195.959596	194.082727	193.7577632	195.2251997	193.3380724
196.969697	193.0517047	192.7921554	194.1193621	192.3744772
197.979798	192.0416165	192.0316048	193.0995248	191.4651904
198.989899	191.0519336	191.4761113	192.1656879	190.6102122
200	190.0821435	191.125675	191.3178514	189.8095423
